id,area,subsystem,risk_type,priority,prompt
TX-AUDIT-046,Stores,Delivery distance,logic,High,"Verify store deliveryDistance, customer radius search, and exact Haversine filtering are applied before pagination and cannot leak ineligible stores."
TX-AUDIT-047,Stores,Store media,code_drift,Medium,Audit store thumbnail vs store media gallery usage. Identify duplicate image fields and define the source of truth for customer cards and vendor edit forms.
TX-AUDIT-048,Items,Item CRUD,authorization,Critical,Audit item create/update/delete. Confirm item storeId belongs to the authenticated vendor/team/admin and cannot be reassigned to another store.
TX-AUDIT-049,Items,Item visibility,eligibility,High,"Verify inactive, sold-out, unpublished-store, or deleted items are hidden from customer purchase paths but still visible to authorized vendor management screens."
TX-AUDIT-050,Items,Item price,money_integrity,Critical,Trace item price changes. Confirm historical orders use snapshot prices and current checkout uses server-side current prices.
TX-AUDIT-051,Items,Item analytics,authorization,Critical,Confirm item analytics requires store-scoped analytics access and rejects cross-store vendor access with tests.
TX-AUDIT-052,Items,Item analytics,code_drift,Medium,"Compare analytics item image source, product card image source, and edit form image source. Identify drift between imageUrl and MediaAsset."
TX-AUDIT-053,Items,Media gallery,ux_data,Medium,Audit EnhancedMediaGalleryManager usage in create/edit store and product flows. Confirm thumbnail selection updates the correct parent field and media upload remains scoped.
TX-AUDIT-054,Items,Seed images,data_integrity,Medium,Update seed logic so seeded imageUrl also creates a MediaAsset row when appropriate. Confirm seeded product thumbnails appear in gallery and cards.
TX-AUDIT-055,Items,Inventory status,logic,High,Audit soldOut/isActive/deleted flags. Confirm checkout blocks unavailable items while vendor edit pages still show all relevant products.
TX-AUDIT-056,Items,Bulk operations,safety,Medium,Search for bulk item/media delete/update operations. Confirm they verify store ownership for every affected resource.
TX-AUDIT-057,Items,Product categories,code_drift,Low,"Audit product category enums/constants across backend, frontend, seeds, and filters. Identify duplicate category lists or mismatches."
TX-AUDIT-058,Delivery,Delivery mode,state_machine,Critical,"Audit deliveryMode values across checkout, order creation, dispatch, tracking, and vendor UI. Confirm pickup/store delivery/platform/third-party modes do not share invalid assumptions."
TX-AUDIT-059,Delivery,Dispatch,authorization,Critical,Verify dispatch route allows only authorized vendor/staff/admin with dispatch scope and never customers or unrelated vendors.
TX-AUDIT-060,Delivery,Delivery job,idempotency,Critical,Confirm dispatch cannot create duplicate active DeliveryJobs for the same order. Add tests for retry/double-click/concurrent dispatch.
TX-AUDIT-061,Delivery,Provider adapters,duplication,High,"Review IN_HOUSE, DOORDASH_DRIVE, and UBER_DIRECT adapters. Identify duplicate structures and define a shared adapter contract."
TX-AUDIT-062,Delivery,Provider webhooks,state_machine,Critical,Audit provider webhook status mapping. Confirm picked_up/delivered/failed/canceled update Order and DeliveryJob consistently without unsafe auto-cancel behavior.
TX-AUDIT-063,Delivery,Driver access,authorization,Critical,Verify riders/drivers can only see assigned deliveries and cannot mark unrelated deliveries picked up/delivered.
TX-AUDIT-064,Delivery,Navigation address,privacy,High,"Audit delivery address exposure. Confirm only assigned driver, store staff, customer, and admin can access dropoff address/coordinates."
TX-AUDIT-065,Delivery,Delivery tracking,state_machine,High,Map tracking timeline per delivery mode. Confirm pickup orders do not show delivery-only states and third-party jobs show provider state safely.
TX-AUDIT-066,Delivery,Store-managed drivers,authorization,Critical,Audit store-managed delivery. Confirm assignedToUserId is a valid store driver/team member with delivery permissions.
TX-AUDIT-067,Delivery,Delivery fee payout,money_integrity,Critical,"Trace delivery fee allocation for store-managed, platform, and third-party delivery. Confirm vendor/provider/driver payouts match business model."
TX-AUDIT-068,Affiliates,Referral attribution,money_integrity,Critical,"Audit referral code capture from /r/:code through signup, checkout, order, and commission creation. Confirm attribution is snapshotted on Order."
TX-AUDIT-069,Affiliates,Commission trigger,money_integrity,Critical,"Verify commissions are only created for paid orders in DELIVERED or COMPLETED states and never pending, canceled, failed, refunded, or in-progress orders."
TX-AUDIT-070,Affiliates,Commission idempotency,idempotency,Critical,Confirm each eligible order creates at most one affiliate commission. Add unique constraint or test if missing.
TX-AUDIT-071,Affiliates,Affiliate status,authorization,High,Audit ACTIVE/PENDING/SUSPENDED/TERMINATED behavior. Confirm inactive affiliates cannot earn new commissions or access protected affiliate data.
TX-AUDIT-072,Affiliates,Residual payouts,business_logic,High,Document residual/ongoing affiliate payout logic. Confirm code matches current business strategy and can be changed later without data loss.
TX-AUDIT-073,Affiliates,Affiliate portal,authorization,High,"Verify affiliates can only see their own stats, commissions, referrals, and payouts unless admin."
TX-AUDIT-074,Affiliates,Vendor affiliate reports,authorization,Critical,Audit vendor affiliate sales reporting. Confirm vendors see only orders for stores they can access and only appropriate order/affiliate details.
TX-AUDIT-075,Affiliates,Payout eligibility,money_integrity,Critical,Trace affiliate payout eligibility against order payment/status. Confirm unpaid and canceled orders are excluded.
TX-AUDIT-076,Affiliates,Role promotion,security,High,Review affiliate signup role promotion. Confirm it does not clobber existing vendor/admin roles or grant unintended privileges.
TX-AUDIT-077,Affiliates,Referral abuse,fraud,Medium,"Identify simple abuse cases: self-referral, duplicate accounts, referral code reuse, canceled order commission farming. Propose basic checks and logging."
TX-AUDIT-078,Payouts,Vendor payout calculation,money_integrity,Critical,"Recalculate vendor payout from paid delivered/completed orders. Confirm fees, tips, tax, refunds, delivery fees, and platform commission are included/excluded correctly."
TX-AUDIT-079,Payouts,Payout records,auditability,Critical,Verify payout records are immutable once finalized or have explicit adjustment records. Confirm recalculation cannot silently rewrite history.
TX-AUDIT-080,Payouts,Payout status,state_machine,High,Map payout statuses and transitions. Confirm paid/failed/canceled/reversed states cannot be updated inconsistently.
TX-AUDIT-081,Payouts,Finance access,authorization,Critical,Audit finance routes. Confirm only store owner/team with finance scope/admin can view payout summaries and exports.
TX-AUDIT-082,Payouts,Export routes,privacy,High,Review finance/export routes for PII and financial leakage. Confirm cross-store export access is blocked.
TX-AUDIT-083,Payouts,Refund impact,money_integrity,Critical,"Trace how refunds or cancellations after payout eligibility affect vendor payout, affiliate commission, and platform revenue."
TX-AUDIT-084,Payouts,Adjustment model,design_gap,High,"Identify whether manual adjustments, chargebacks, or corrections have a model. Propose minimal adjustment ledger if missing."
TX-AUDIT-085,Payouts,Reconciliation,money_integrity,Critical,"Design a reconciliation report comparing order gross, Stripe captured, platform fees, vendor payable, affiliate payable, and delivery payable."
TX-AUDIT-086,Security,RBAC,authorization,Critical,"Audit requireAuth, requireRole, optionalAuthenticate, and route preHandlers. Confirm public/authenticated/role-protected routes use the intended pattern consistently."
TX-AUDIT-087,Security,Store access helper,authorization,Critical,Review userHasStoreAccess and requireVendorAuth. Confirm every supported scope maps to correct team/vendor/admin permissions.
TX-AUDIT-088,Security,Cross-store access,authorization,Critical,"Add or verify tests proving Vendor A cannot access Vendor B analytics, orders, media, payouts, readiness, delivery zones, team, or promotions."
TX-AUDIT-089,Security,Route path drift,code_drift,Medium,List route path conventions: /api/vendor/stores/:storeId/* vs /vendor-* vs /api/items/*. Identify cleanup candidates without breaking clients.
TX-AUDIT-090,Security,Public routes,privacy,High,"Audit public routes for accidental financial, address, customer, order, payout, or vendor private data exposure."
TX-AUDIT-091,Security,Input validation,validation,High,Find routes without Zod/schema validation. Prioritize money-changing and ownership-changing endpoints.
TX-AUDIT-092,Security,Mass assignment,security,Critical,"Search create/update routes for spreading req.body into Prisma. Confirm clients cannot set ownerId, storeId, role, price, payout status, paid flags, or commission fields directly."
TX-AUDIT-093,Security,Secrets,security,Critical,"Search for exposed secrets, API keys, Stripe keys, JWT secrets, provider credentials, and accidentally committed env values."
TX-AUDIT-094,Security,Error messages,privacy,Medium,"Review auth and transaction error messages. Confirm they are useful but do not expose sensitive account, order, payment, or store existence data."
TX-AUDIT-095,Security,Audit logging,auditability,High,"Identify every route that changes money, orders, roles, permissions, payouts, or delivery state. Confirm audit logging exists or propose minimal event records."
TX-AUDIT-096,Code Quality,Duplicate services,duplication,High,"Search for duplicate order, checkout, payment, payout, and delivery calculations. Produce a table of duplicated logic and recommended canonical owner service."
TX-AUDIT-097,Code Quality,Dead code,maintainability,Medium,"Find unused routes, services, helper functions, Prisma fields, and frontend API methods related to transactions. Recommend removal or test coverage."
TX-AUDIT-098,Code Quality,Over-engineering,maintainability,Medium,Identify transaction code that is abstracted too early or has provider/factory layers without multiple real implementations. Recommend simplification where safe.
TX-AUDIT-099,Code Quality,Under-engineering,design_gap,High,"Identify money-changing flows lacking transactions, idempotency, tests, audit records, or reconciliation hooks."
TX-AUDIT-100,Code Quality,Frontend/backend drift,code_drift,High,"Compare frontend API calls to backend routes. Find path prefix mismatches, /api guessing, stale endpoints, and response type drift."
TX-AUDIT-101,Code Quality,OpenAPI/client drift,code_drift,Medium,Compare OpenAPI-generated client types to live backend routes/types. Identify stale generated clients and missing regeneration steps.
TX-AUDIT-102,Code Quality,Prisma schema drift,code_drift,High,"Compare Prisma schema to business concepts: Order, OrderItem, DeliveryJob, MediaAsset, AffiliateCommission, VendorPayout. Flag overloaded, unused, or ambiguous fields."
TX-AUDIT-103,Code Quality,Migrations,data_integrity,High,"Review migrations for transaction/money tables. Confirm constraints, indexes, unique keys, and defaults protect real-money flows."
TX-AUDIT-104,Code Quality,Tests,test_gap,Critical,"List transaction-critical flows without tests. Prioritize checkout paid order creation, webhook idempotency, cancellation/refund, payout eligibility, commission creation, and cross-store access."
TX-AUDIT-105,Code Quality,Observability,observability,Medium,Audit logs and metrics for order/payment/delivery/payout failures. Recommend structured logging fields and alert-worthy events.
TX-AUDIT-106,Code Quality,Race conditions,concurrency,Critical,Search for read-then-write transaction flows without database transactions. Identify double-submit/double-webhook/double-dispatch race risks.
TX-AUDIT-107,Code Quality,Indexes,performance,Medium,"Review Prisma indexes for order lists, payout reports, affiliate reports, delivery jobs, media galleries, and store searches. Recommend missing indexes."
TX-AUDIT-108,Code Quality,Seed realism,test_data,Low,"Review seed data for transaction realism. Ensure seeded stores/items/orders/media allow testing vendor dashboards, media thumbnails, payouts, commissions, and delivery states."
TX-AUDIT-109,Code Quality,Admin tools,design_gap,Medium,"Identify missing admin tools for reconciling payments, resolving stuck orders, correcting payouts, viewing logs, and managing disputes."
TX-AUDIT-110,Code Quality,Data deletion,data_integrity,High,"Audit delete behavior for stores, items, media, orders, users, affiliates. Confirm financial records are not hard-deleted in ways that break audits."
TX-AUDIT-111,Code Quality,Naming,maintainability,Medium,"Find misleading transaction field names such as serviceFee, commission, platformFee, deliveryFee, total, gross, net. Propose a consistent money naming glossary."
TX-AUDIT-112,Frontend,Checkout UI,ux_money,High,"Compare checkout UI fees and totals to server calculation. Confirm labels clearly distinguish subtotal, delivery, service fee, tax, tip, discount, and total."
TX-AUDIT-113,Frontend,Vendor dashboard,code_drift,Medium,Audit vendor dashboard metrics. Confirm displayed revenue/order counts match backend definitions and exclude unpaid/canceled orders appropriately.
TX-AUDIT-114,Frontend,Order management UI,state_machine,High,"Review order action buttons. Confirm UI only shows actions valid for current status, role, delivery mode, and payment state."
TX-AUDIT-115,Frontend,Delivery UI,state_machine,Medium,Review driver/vendor delivery screens. Confirm actions map to backend allowed transitions and show clear errors for invalid transitions.
TX-AUDIT-116,Frontend,Payout UI,ux_money,High,"Review vendor finance/payout UI labels. Confirm platform fees, vendor payable, tax, tip, and delivery pass-through are not misleading."
TX-AUDIT-117,Frontend,Affiliate UI,ux_money,Medium,Audit affiliate dashboard stats. Confirm pending vs payable vs paid commissions are clearly separated.
TX-AUDIT-118,Frontend,Error handling,ux_reliability,Medium,Find frontend routes that auto-logout on any 401 or hide permission errors. Confirm token invalidation is distinguished from forbidden or route errors.
TX-AUDIT-119,Frontend,Media thumbnails,ux_data,Low,Audit store/product media forms. Confirm imageUrl thumbnail and MediaAsset gallery behavior is clear and one-click thumbnail changes persist.
